Unit 1 7-8,unit-1-7-8
registration from,формуляр за
edition,издание
surname,фамилно име
address,адрес
street,улица
town,град
country,държава
car,кола
make,правя,марка
model,модел
registration number,регистрационен номер
Do you wish to pay by,Искате ли да платите с
wish,желая
pay,плащам
credit card,кредитна карта
no,не,никакъв
"If yes, please tick","Ако отговорът е да, моля отбележете с тикче"
please,моля
signature,подпис
date,дата
Thanks for the beer,Благодаря за бирата
That's all righte,моля
You're welcome,моля
